PID,Social Media Post,Normalized Claim
1728,"venice italy","Aerial view of heart-shaped Venice city"
1729,"the majority of mankind that are nonwhite support russias stand in ukraineputin is absolutely right when the ussr parked nuclear armed missiles in cuba in 1962 the west was ready to blow up the world over it now when nato does the same they expect russia to do differently","A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”
"
1730,"earlier today deputies were called to the ritzcarlton orlando grande lakes for a call about an unresponsive man in a hotel room the man was identified as robert saget and pronounced deceased on scene detectives found no signs of foul play or drug use in this case bobsaget","Says Bob Saget died from the COVID-19 vaccine.
"
1731,"vice president pence is in tampa right now","""I would do press events in May, I would never be asked about coronavirus.''"
1732,"safe and effective","Pfizer withdraws the drug Chantix for causing Cancer"
1733,"naw surely it is some weird kind of coincidence right i mean really it is right","there were no cases of Flu in the year 2021"
1734,"france president emmanuel macron slapped in public again","France President, Emmanuel Macron slapped in public again"
1735,"fifa 2022 opening ceremony fireworks so beautiful","caption reads, “FIFA 2022,,, opening ceremony fireworks. So beautiful."
1736,"the new ncp coronavirus may not show sign of infection for many days how can one know if he she is infected by the time they have fever and or cough and goes to the hospital the lungs is usually 50 fibrosis and it is too late taiwan experts provide a simple selfcheck that we can do every morning take a deep breath and hold your breath for more than 10 seconds if you complete it successfully without coughing without discomfort stuffiness or tightness etc it proves there is no fibrosis in the lungs basically indicating no infection in critical times please selfcheck every morning in an environment with clean air serious excellent advice by japanese doctors treating covid 19 cases everyone should ensure your mouth and throat is moist never dry take a few sips of water every 15 minutes at least why even if the virus gets into your mouth drinking water or other liquids will wash them down through your esophagus and into the stomach once there in tummyyour stomach acid will kill all the virus if you do not drink enough water more regularlythe virus can enter your windpipes and into the lungs that is very dangerous pls send and share with family friends and evervone","To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection."
1737,"register yourself for the pradhan mantri berojgar bhatta yojana 2022 under this scheme the unemployed youth will be given rupees 6000 every month","Under Pradhan Mantri Berojgar Bhatta Yojana 2022, all unemployed people will be given Rs 6,000 per month"
1738,"genius trump nominates joe biden to supreme court forcing dems to accuse him of sexual assault","Trump nominates Biden to the Supreme Court"
1739,"a new brexit delivery unit reviewing every eu law on our statute book starting in my first 100 days","There are 2,400 post-Brexit EU laws on our statute book."
1740,"just digest this for a moment a minority of only 16 have achieved all this in only a few yearsplanned from the start you do the projections","The mayors of London, Birmingham, Leeds, Blackburn, Sheffield, Oxford, Luton, Oldham and Rochdale are Muslim."
1741,"hala inamin niyo rin","Imee Marcos said her brother Bongbong may be a cocaine user but at least he is ""not as ugly"" as his accuser"
1742,"there you have it myself calling hammersmith police station whom confirm these is a live case share share share","The Metropolitan Police is investigating the Covid-19 vaccine programme."
1743,"job at world health organisation help us fight coronavirus by working from home no experience required sms sending job work 23 hours daily on mobile and earn 5100 daily click here and apply now vacancy till 30 th april 2021","A social media and a highly circulated WhatsApp message claim that World Health Organization (WHO) is offering jobs and money to people who will fill up their details on a webpage whose link is given along. We fact-checked and found that the claim is false."
1744,"so a fast vande bharat express saves only three minutes for the journey between bombay and surat","So a “fast” Vande Bharat Express saves only three minutes for the journey between Bombay and Surat?"
1745,"amazing more than one million marchers for president realdonaldtrump descend on the swamp in support facebook fact checkers are wrong these are real to date pictures taken during the million mega march 2020 marchfortrump millionmagamarch 2020","“These are real to date pictures taken during the Million (MAGA) March 2020.”"
1746,"if you think the fight is over","The European Union launch mandatory vaccination"
1747,"smartshop pick and go the checkout free way to shop","New gates and QR scanners in a Sainsbury’s store are for vaccine passports."
1748,"since taking office trump has directed his 400000 annual salary to a different agency each quarter","The claim: Trump's tax returns prove he never donated his salary "
1749,"the country will not run by jumlas rahul gandhi will become prime minister","The country will not run by jumlas

Rahul Gandhi will become Prime Minister."
1750,"nothing should stand above human rights nothing","An Instagram post claims Victorian Premier Daniel Andrews said “insisting on human rights” under COVID-19 restrictions was not only selfish but also stupid."
1751,"please watch this and realize hindus this is happening in paris today it may happen in bharat with the widespread influence of islam tomorrow if we do not wake up now and act hindus in bharat will once again be subjected to aurangzebs jizya rule just watch and weep","This is Paris today. May be Bharat tomorrow, with widespread Islam. If we don’t wake up now and act, again Aurangzeb’s Jizya rule will slap Hindus in Bharat. Just watch and weep."
1752,"covid 19 losing potency a study conducted by world health organisation who and world majer hospitals has found that covid 19 become weakerharmles those who have been recently infected by cronavirus symptoms shows there is no lethal the petient will suffer covid 19 easer than two months ago","WHO said coronavirus is losing potency"
1753,"love it when a brand takes a stand spotted all over melbourne this morning of course as they are digital billboards it is hard to know whether or not the system was hacked but if they are legit bbqs galore deserves a mighty salute","Billboards in Melbourne displayed Barbeques Galore adverts with an anti-Liberal Party message."
1754,"vaccines in our food supply solves the problem of vaccine hesitancy","Vaccines in our food supply solves the problem of vaccine hesitancy"
1755,"the exact composition of vaccines is documented on their packaging and rigorously checked by many independent bodies and none of the ingredients can interact with radio waves","The emergency alert test is an “activation signal” to activate the “pathogen in the shot”."
1756,"very interesting see the way i ante meridiem folding my arms","A Viral media posts claims that Pastor Tunde Bakare declares himself as the next Nigeria’s president in 2023."
1757,"a mosque in leeds why are they exempt from rules which tell us we must stay at home but they can congregate at close quarters spreading disease then some go and serve in their shops wtf double standards","An image shows Muslims queueing to get into a mosque, standing closer than two metres apart, after the lockdown was announced."
1758,"cold comfort to the 400 families whose loved ones died in aged care from the covid strain from the ship that the lnp allowed to disembark in sydney to get the 2 lnp families off the death ship","A social media post claims Australian Health Minister Greg Hunt admitted no one in the country had died from a locally transmitted case of COVID-19."
1759,"why are army dogs shot dead","सेना के कुता को क्यू मार दी जाती है गोली।"
1760,"elementary school teacher bernie gores died sheltering his students from gunfire at robb elementary school in uvalde texas","Bernie Gores was reported to have died in both the Robb Elementary School shooting and in Afghanistan."
1761,"after 18 th sept the government are going to say they consulted the public and because there were no objections we all want and consent to the rollout of unlicensed vaccines and that we are happy for nonmedical staff to administer them and happy to accept we will not have the ability to ask for compensation if we face damage to our health","After 18 September, the government is going to say that because there were no objections, they will roll out unlicensed vaccines."
1762,"wipros share price fell by 45 and wiped out rupees 2 lakh crore worth of investors wealth recently yet no one demanded a jpc on wipro","Wipro’s share price fell by 45% and wiped out Rs 2 lakh crore worth of investors’ wealth recently.

Yet no one demanded a JPC on Wipro."
1763,"great news for late night shoplifters 24 hour walmart starts back august 142022","Walmart will be open 24 hours starting on Aug. 14"
1764,"report dominion deleted 27 million trump votes nationwide data analysis finds 221000 pennsylvania votes switched from president trump to biden 941000 trump votes deleted states using dominion voting systems switched 435000 votes from trump to biden","The claim: Dominion Voting Systems deleted votes for Donald Trump, switched votes to Joe Biden"
1765,"irish covid deaths in the winter have been substantial and yet no excess deaths","Several posts on social media have tried to play down the need for lockdowns by looking at excess deaths figures"
1766,"2 nd largest covid care center in india rss has built 6000 bed covid care center and 4 oxygen plants in 45 acres of land in indore","Covid Care Centre built by RSS in Indore"
1767,"the countrys prime minister does not have time to meet with farmers sitting in the rain and cold for 16 days but he has time to go congratulate ambani at his home when his grandson is born","PM Modi visited Ambani’s grandson at the hospital"
1768,"for those that are desperate to take a test when they have a sniffle at the height of coldflu season i have some information that may be of interest to you the pcrlateral flow test swabs are made of hard materials and contain a variety of nano particles made of silver aluminium titanium glass fibres ethylene oxide and lithium many of which are undeclared in the package leaflet let us look into one of the above substances lithium and i will leave you to do some research on the rest lithium is used to treat mania that is part of bipolar disorder manicdepressive illness it is also used on a daily basis to reduce the frequency and severity of manic episodes when the swabs enter the mucous membrane they can cause wounds and inflammation and because severe damage to the blood brain barrier so the next time you are frantically trying to get your hands on one because your friends dog tested positive and you stroked it the day before please consider the information above","Covid-19 nasal swabs contain Lithium"
1769,"before the pandemic just over 40000 were on continuing ui claims now there are well over 100000 on state or federal ui benefits today republicans invested in programs that support wisconsins workforce and getting people back to work","“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”"
1770,"it is called fast because if you are having a stroke timing is vital you could lose millions of nerve cells for every minute without treatment the more time passes the more your movement speech and abilities could be affected acting fast really does save lives","You can save someone’s life if they’re having a stroke using a needle. If someone is having a stroke, sterilise a needle then use it to prick the tips of all 10 fingers of that person. After their fingers start to bleed, prick the soft parts of their ear. Then send them to a hospital."
1771,"thousands and thousands having their jab hear kate shemirani speak","You cannot give blood after you’ve been vaccinated."
1772,"doctors can you please explain in lay terms it seems that there are new discoveries to covid 19 thanks to autopsies performed by the italians it has been shown that it is not pneumonia but it is disseminated intravascular coagulation thrombosis","Covid-19 patients have been misdiagnosed as having pneumonia when they actually have a blood clotting condition called disseminated intravascular coagulation."
1773,"congratulations you have been selected to benefit from the support provided by the world health organization for 500 euros","World Health Organization (WHO) is giving cash to the public for sharing a message to 15 friends on Whatsapp"
1774,"the weak illegal immigration policies of the obama admin allowed bad mahendra singh 13 gangs to form in cities across yous we are removing them fast","""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!"""
1775,"you want to be a man make something build something better help someone serve someone care for them your damn assault rifle has no part in that it just makes part of the most insecure and dangerous club in the world","Says Nate McMurray said that “gun owners are part of the most insecure and dangerous club on earth,” that “the NRA are homegrown terrorists,” and that “abortion opponents are the American Taliban.”"
1776,"fun fact more white legacy students get admitted to top universities than black and latinx students admitted through affirmative action senjeffmerkley and i are introducing a bill to ban legacy and donor preferences making admissions more fair affirmative action is not the issue","“More white legacy students get admitted to top universities than Black & Latinx students admitted through affirmative action.”"
1777,"the heat reacts with the chemicals in the plastic of the bottle which releases dioxin into the water dioxin is a chemical found in plastic which causes cancer and is highly poisonous to our bodies","Drinking bottled water left in a car cause cancer"
1778,"well we the conspiracy theorists though we did our research as deep as possible are once again proven right been part of the plan all along hatt mancock hattmancockmp human trials will start this july on a microchip implant smaller than a pinhead that will hold your booster status and other information to enable a fast and easy way to access things like shops and events all powered by microsoft technology a very exciting technology","Microsoft developing human chips to store COVID vaccine related information"
1779,"gop gqp","Social Security has 'nothing to do' with deficit and national debt"
1780,"no matter how cute the whole funeral candy episode was george walker bush can never be absolved of his actions that led to where we are now it did not have to be this way","In Afghanistan, “over 100 billion dollars spent on military contracts.”"
1781,"thousands and thousands having their jab hear kate shemirani speak","The Covid-19 vaccine contains a nanobot transmitter which can connect you to the “internet of things”."
1782,"we are about to be forced to have a digital id proving we have had an experimental vaccine which does not prevent infection or transmission of a virus that most of us have a 005 chance of dying from so we can live normal life can people really not see through this","Mandatory vaccine certificates are being introduced."
1783,"buckingham palace has announced the death of his royal highness the duke of edinburgh","BBC radio announced the death of Prince Philip in the middle of a dance track."
1784,"rest in peace mika singh rest in peace sir","Laut aao Mika sir"
1785,"the problem is on the eu side","If Lord Kinnock, Lord Mandelson, or Lord Patten began to publicly criticise the EU, their pensions would be withdrawn."
1786,"appeal urgent appeal to find mum of abandoned newborn baby boy police are appealing for the mother of a newborn baby found in the street to come forward so that she can receive medical care and support the baby was discovered by a member of the public in walsall west wearing a blue babygrow and hat he was also wrapped in a grey knitted blanket","Police are appealing to find the mother of a newborn baby boy that has been abandoned in Walsall."
1787,"i don","A picture of three men in police uniform leaning in front of a man with folded hands shared with claims that the picture is exposing the reality of IPS and IAS officers in India."
1788,"it could be that increased social distancing has led to reduced infection rates for flu and other infectious conditions or that some of the population susceptible to flu have died due to other causes such as covid 19","If all the other lockdowns haven’t worked, why would this one be any different?"
1789,"mustwatch president biden says he wants to ban handguns house republicans will never allow this to happen the secondamendment is a right","“President Biden says he wants to ban handguns.”"
1790,"we are fighting against the entire infrastructure of india","WE ARE FIGHTING AGAINST THE ENTIRE INFRASTRUCTURE OF INDIA"
1791,"jabbing kids donaldjtrumpjr that is the power of donald trump it is only after trump made the statement that who finally got on board saveourchildren","The claim: The World Health Organization says children should not receive COVID-19 vaccines"
1792,"these cucks actually think we are going to let them do this they just united the population of three seperate countries to stand together against them","President Joe Biden signed away US sovereignty"
1793,"aamir khan has said he will not stay in india if laal singh chaddha movie flopped who wants aamir soon leave india","Facebook user 'Mukesh Sharma Fans Club' (archive link) shared the viral post on August 13 and wrote,"
1794,"never respond to unsolicited messages and calls that ask for your personal or financial details","A scam is asking people to input the personal details, including bank details, to receive “Covid-19 Relieve.”"
1795,"one anna coin was released by east india company in 1839 to get surprised one has to see the other side of the coin it is the rare portrait of sri rama pattabhishekam collected from ayodhya","East India Company issued coins with Hindu gods’ images"
1796,"a quick and easy do it yourself to whitening your teeth ingredients turmeric 1 teaspoon pure coconut oil 1 tablespoon benefits turmeric remove plaque bacteria gum diseases and bad breath coconut oil healthier gums plaque removal and whiter teeth follow me facebook instagram","you can whiten your teeth with coconut oil and turmeric"
1797,"a massive sea serpent skeleton found on a beach in france","A massive sea serpent skeleton found on a beach in France"
1798,"public health scotland will stop publishing data on covid deaths and hospitalisations by vaccination status going forward because the data has shown for the past few weeks that the fully vaccinated population are developing aids that which was a conspiracy theory","PHS will not publish Covid data due to link between vaccine and AIDS"
1799,"the best is yet to come","Says he ""created 7+ million jobs"""
1800,"the use of language here is very deliberate it always is and they are telling you the socalled third wave will consist of vaccinated people becoming severely ill not just people in general","Covid-19 vaccines cause vaccine enhancement syndrome which makes you even more vulnerable to the disease."
1801,"today is ganesh puja share this post as much as possible assamese_elephant_captive_in_tamil_nadu_temple jayamala the elephant was leased from assam to tamil nadu in 2008 for just six months the elephant which has been illegally kept for the last 13 years was caught was tied and brutally thrashed several times in a temple premises but the assam forest department is indifferent despite knowing everything","This is the image of Elephant Joymala who was brutally beaten in Tamil Nadu"
1802,"turmeric removes fluoride from the brain curcumin found in turmeric appears to raise endogenous glutathione production in the brain a major antioxidant defense system the study investigated the mechanisms through which fluoride induces severe neurodegenerative changes in the mammalian brain particularly in cells of the hippocampus and cerebral cortex","Turmeric removes fluoride from the brain"
1803,"pennsylvania voters reelect dead democrat state representative","Post implies deceased candidate’s victory in PA is evidence of voter fraud"
1804,"the commission is seeking a change to the law so that women and girls in northern ireland have the choice of accessing a termination of pregnancy locally in circumstances of serious malformation of the foetus rape or incest without being criminalised for doing so","The High Court ruled that Northern Ireland’s abortion law was contrary to international human rights law, though this has since been successfully appealed."
1805,"msu alert there have been shots fired near berkey hall on the east lansing campus please secureinplace immediately police are active on scene more information to follow","The Michigan State University shooter is a 21-year-old man named Lynn Dee Walker.
"
1806,"nitin gadkari did not clap at modis cheap theatrics","Nitin Gadkari didn’t Clap at Modi’s cheap theatrics.."
1807,"that is a crime that is premeditated murder","Image shows Bill Gates tweeted about vaccines in the food supply"
1808,"they are all laughing at us","“Kamala Harris resigns in shock after Biden’s ‘mandatory’ border trip…Trump jails ‘corrupt’ VP.”"
1809,"the total from albania dwarfed other nationalities iranians made up the next highest total with 373 migrants or 13 per cent of the total there were 363 migrants from afghanistan 127 per cent of the total 217 from iraq 76 per cent 162 from syria 57 per cent and 163 from eritrea 57 per cent","Figures from a leaked report showing that 37.5% of small boat arrivals are Albanian vindicates Priti Patel’s view that the majority of those crossing the Channel are ‘effectively economic migrants’ and ‘not genuine asylum seekers’."
1810,"urgent missing this is the most recent picture of my dad gerald 79 who drove out yesterday around 530 pm from liverpool","Help is being sought to find a missing father named ‘Gerald’ who has dementia."
1811,"about time","Says NASCAR “bans the confederate flag but FORCES all their drivers to do Muslim prayer.”
"
1812,"if you or anyone you know has autism need to look into suramin i did a little research on my own to discover it is indeed a cure spread the word","Several social media posts claim suramin medicine can cure autism completely. We fact-checked and found the claim to be False. "
1813,"two stamps needed for mailin ballots make sure this gets passed on","“Two stamps needed for mail-in ballots.”"
1814,"the conditions were grouped together as any of them can cause snoring and are known to do so and the article makes clear the potential to receive pip is dependent on the condition","People who snore could be entitled to £156 in benefits."
1815,"rumor addressed does this text message look familiar to you the savanah police department has received word from some concerned citizens that this message is floating around through text message and on social media warning that a police officer claimed there could be shootings in walmarts and are warning people not to go to these businesses we are aware of the message and after speaking with other law enforcement agencies we have learned that the message is floating around throughout the entire state and others as well this message has not been determined to be a credible threat in the savannah area and appears to be the results of a wild internet rumor please be cautious of any social media rumors and always bring them to law enforcement attention so that we can determine if there are any existing threats thank you to all who brought their concerns to the police department","Says there could be a potential mass shooting at a Walmart nearby."
1816,"breaking_news world cup winner former indian cricket team captain mahendra singh dhoni ji took buddha dhamma deeksha and adopted buddhism budham sharanam gachchami congratulations to dear captain sir and wish you well","Dhoni Has Adopted Buddhism"
1817,"access to the single market requires acceptance of all four freedoms including the freedom of movement","The Labour Party wouldn't have problems with the Irish backstop because it wants the whole of the United Kingdom to be in a permanent customs union with the EU."
1818,"i ante meridiem pleased we had a record number of new homes built in the last year","House building numbers hit a record high under this government."
1819,"haha bidensamerica","A compilation of images shows what Joe Biden has “done to our country.”"
1820,"due to the financial crisis amazon has launched a new project promising to help families become wealthier","Amazon has launched a new cryptocurrency trading platform called “BTC Ai 360” or “Ai Biticodes”."
1821,"tejashwi yadav scared of manish kashyap tejashwi yadav left the dream of becoming chief minister tejashwi yadav revealed","Tejashwi Yadav give up his claim for Bihar chief ministership after the arrest of a YouTuber"
1822,"did you know clean your face and keep a towel soaked in warm water on face for 2 minutes then apply aloe vera gel at night time it helps to treat pigmentation uneven skin tone dark spots and makes skin glowing and fair naturally","A post on Instagram claims that applying aloe vera gel on your face can help treat pigmentation, uneven skin tone, and dark spots and make your skin glow and fair naturally. We fact-checked and found this claim to be Half-true."
1823,"hillary replaces kamala harris","“Hillary replaces Kamala Harris.”"
1824,"bank will be remain closed on every saturday from 1 st june rbi has approved 5 days working for banks timing 930 ante meridiem to 530 pm","RBI has approved 5-day work week for banks from 1st June."
1825,"they keep telling us vaccines are safe so why do not they address this 205 fatalities and 114 k adverse reactions","Reports to the Yellow Card scheme suggest that the Covid vaccine from AstraZeneca is not safe."
1826,"great job dpp","DPP issued a statement on polic brutality in nairobi county assembly"
1827,"this is very interesting","Rubbing hydrogen peroxide on the body “once, preferably twice a day” treats cancer."
1828,"7000 crore black money seized from believers eastern church kerala operated by bishop johannan vagaiyara caught by enforcement department will any media shows this no","Rs. 7000 crores black money has been seized from the Believers Eastern Church (Kerala) by the Enforcement department"
1829,"what is this then a meitei nurse working in ccpur rape by kuki inside the hospital and brutally killed manipurviolence letthismadnessend","This picture is of a nurse from the Meitei community, who was raped and murdered inside a hospital by rioters from the Kuki community"
1830,"if we vote to leave this would not automatically mean we will control immigration from the eu it depends on what the government chooses to do with immigration policy and what arrangements it negotiates","If we Vote Leave... We will control our borders."
1831,"welcome to the 4 th industrial revolutionking of bahrain arrives in dubai with his robot bodyguard worth 74 m it speaks 6 languages can rescue fight chase shoot armed with electric teaser 360 degrees camera system stateoftheart guns and ammunition to fight 1050 men wow","The King of Bahrain has a heavily-armed robot as a bodyguard."
1832,"this extreme cold weather across many parts of the usa and canada has been extremely harsh for people and wildlife this crazy footage shows two walkers who spotted a deer with its moutheyes and ears completely frozen over brilliant effort to help stay safe everyone","This extreme cold weather across many parts of the USA & Canada has been extremely harsh for people & wildlife. This crazy footage shows two walkers who spotted a deer with its mouth,eyes & ears completely frozen over. Brilliant effort to help! 👏🏼 Stay safe everyone"
1833,"that tells you everything you need to know","Says Nancy Pelosi “won’t let Capitol police testify about what happened Jan. 6.”"
1834,"schools require students to get vaccinated for other diseases so why is the new york state teachers union opposing a coronavirus vaccine mandate american federation of teachers president rweingarten responds msnbc","90 percent of educators and staff who belong to the American Federation of Teachers have been vaccinated."
1835,"bjp government in up introduces 6 per cent gst on the sunday church mass offertory money new law passed in up","BJP Govt in UP introduces 6 per cent GST on the Sunday Church Mass offertory money, New Law passed in UP"
1836,"justiceforindiasdaughters rare pictures of rapist sandeeps father hathrashorror hathras adityanathmustresign balrampur apradhnathinup fam 4 tmc","BJP leader accused as father of rape accused in Hathras case"
1837,"going up fast we need the wall more than ever","""We need the Wall more than ever"" to stop the spread of coronavirus."
1838,"not much of a fast food eater but just in case i get a craving this is motivation to eat healthier for sure thanks for the knowledge troubleman 31 staywoke healthyeating supportthelocals moneyispower boycott timetogethealthy","Says 12 restaurants and food companies are ""supporting Trump’s re-election."""
1839,"recently a 105 year old woman was in the news who credited her health and longevity to eating 9 gin soaked raisins a day here is the recipe for gin soaked raisins let s make them and do a taste test food recipe cooking","Gin-soaked raisins be used to cure arthritic pain"
1840,"a 44 th blood group has been discovered in the uk and confirmed in at least 30 people over the last couple months","Covid vaccine formed a new blood group"
1841,"do you think biden should have had these documents","Biden did not have the authority to declassify documents as vice president"
1842,"gopalganj muharram 2014","People proteted with swords against Tabrez's killing"
1843,"the soldiers of ranazi bring something new there is truly no doubt salute to the police who stand for the nation banevm","Policemen holding placards of NO NRC NO CAA."
1844,"i want to make one thing clear in congress i will never allow radical terrorist groups like antifa to operate in our country and hijack the health and safety of peaceful americans we need to be tough on this issue or we are at danger of losing everything our country stands for","Antifa “are killing our police. Looting our businesses. Assaulting the elderly and burning our churches.”"
1845,"italy has decided not to treat their elderly for this virus that my friends is socialized healthcare","“Italy has decided not to treat their elderly for this virus.”"
1846,"get periods in 12 days with these home remedies periods","you can induce menstrual periods early with home remedies"
1847,"confirmed this week that this is still the position in brussels this interpretation of the law has been","Scotland will have to leave the EU whether or not it becomes independent."
1848,"the majority of these reports were in elderly people or people with underlying illness review of individual reports and patterns of reporting does not suggest the vaccine played a role in the death","Covid-19 vaccines are killing many people according to data on the VAERS system."
1849,"a baby died due to flood in bihar","Child died due to floods in Bihar"
1850,"100000 covid deathsreally ons data shows top 9 diseases mysteriously improved in december 533 reduction in dementiaalzheimer deaths 503 reduction in heart disease deaths is there a magic cure please verify","ONS data shows huge falls in non-Covid causes of death in December 2020."
1851,"new it appears trumps legal team has filed in sdfl because listed as motion for judicial review no documents available yet though","Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home."
1852,"breakingnews so sad news about the helicoptercrash a helicopter carrying kedarnath pilgrims from phata crashes casualties feared uttarakhand kedarnath helicoptercrash","Image shared in Kedarnath helicopter crash tweet"
1853,"there is no way that this was legitimate and no we are not calling the az race yet kari abe and blake are still in this and we need them","Candidates with more social media followers losing is proof of fraud"
1854,"many websites promote the rife machine as a cure for cancer but no reputable scientific cancer organisations support any of these claims","Rife machines can cure over 5,000 diseases including all cancers, infections and more."
1855,"the simpsons movie tom hanks cameo hdtv 2007","“‘The Simpsons' predicted Tom Hanks getting coronavirus in 2007.”"
1856,"did i catch your attention good now go actually research what you put into your body","Flu vaccines have formaldehyde and polysorbate 80"
1857,"but some of you are still going to runs d get the syringe just to be accepted by society f that and fjb","The claim: Biden exempted Congress and its staff from his vaccine mandate"
1858,"all of you countrymen are requested to boycott cadbury dairymilk chocolate neither eat nor feed it because the cadbury dairymilk chocolate company has accepted that the chocolate is made from beef","Cadbury has announced that all its products contain Halal-certified beef"
1859,"muslim skullcaps are forbidden in india but not in the uae","PM Modi wore keffiyeh on his head in the UAE"
1860,"the 2020 election cycle was full of mixed messages one thing wi voters made abundantly clear we want fair maps all 14 referendums on the november 3 rd ballot in favor of a nonpartisan redistricting process passed","“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”"
1861,"so the two people who stood on stage in the democratic debates and said the other was not fit to run the countryare teaming up to run it together","The claim: Joe Biden and Kamala Harris said the other 'wasn't fit to run the country'"
1862,"vaccine effectiveness against symptomatic disease with the omicron variant is substantially lower than against the delta variant with rapid waning however protection against hospitalisation remains high particularly after 3 doses","Covid-19 vaccines’ effectiveness dropped from 98% to just 1% among a wider, younger population. This information appeared in the Lancet medical journal."
1863,"if mva government had merged the msrtc workers then the semiconductor would not have gone to gujarat","Today's most insightful response"
1864,"follow for beauty and health tips health_and_beauty_tips fitness gym workout fitnessmotivation bodybuilder fit bodybuilding love training health lifestyle instagood fitfam healthylifestyle goodhealthinstagram healthy like follow gymlife life glowingskincare skincare personaltrainer happy goals fashion exercise muscle bhfyp","A social media post claims bitter gourd juice contains beta-carotene, and drinking one glass of juice daily helps improve eyesight. We fact-checked and found the claim to be mostly false."
1865,"new jersey and maryland produce more solar power than florida the sunshine state a bill that strips solar panel incentives is bad for homeowners jobs and our environment i will be a governor that promotes the use of solar energy not one who cozies up to the big utilities","“New Jersey and Maryland produce more solar power than Florida, the Sunshine State!”"
1866,"yogi ji is also in action after modi ji akhilesh yadav was shown his status on 370","Akhilesh Yadav being arrested for protesting against the removal of Article 370 in Jammu and Kashmir."
1867,"those who spent between 60 and 149 minutes on moderate exercise had a 28 per cent lower risk of dying from any because","Ten minutes’ exercise each week cuts risk of early death by a fifth."
1868,"ang hangganan ng medisina ayon sa batas part 3 on the ground guests doctor fidel fernandez pathologist and infectious disease expert doctor jose oclarit molecular biologist atty aaron soguilon capt rey valeros junior mm international shipping auditor and philippine navy reserve officer follow and subscribe to kdp ontheground katipunanchannel","RT-PCR testing is “not scientifically, clinically, medically sound” because it’s set up with a high cycle threshold which means it’s extremely sensitive and causes a lot of false-positives"
1869,"factcheck pres trump is trying to blame the who for its early coronavirus response and basically taking chinas word here was pres trump in january","Donald Trump falsely claimed that World Health Organization took China at its word early in the coronavirus pandemic"
1870,"farmersprotesthijacked","Banners demanding restoration of article 370 & 35A in Jammu & Kashmir and repealing of UAPA Act displayed in ongoing farmer’s protest"
1871,"most studies suggest that there is no difference in biochemical composition and sensory quality in bananas treated with chemicals that induce ripening from naturally ripened bananas","A banana has been chemically ripened if it is brown spotted with a green stalk and naturally ripened if the stalk is black."
1872,"rehearsal for republic day tractormarchdelhi 26 jandelhitractorparade 26 januarydelhitractorparade","Visuals of rehearsals by the protesting farmers for the upcoming Republic Day tractor parade in New Delhi"
1873,"did you know clean your face and keep a towel soaked in warm water on face for 2 minutes then apply aloe vera gel at night time it helps to treat pigmentation uneven skin tone dark spots and makes skin glowing and fair naturally","the application of aloe vera can make your skin glow and fairer"
1874,"not only is public transport free in brussels but they even have a bus called not the 48 which takes you to a mystery location if you are feeling a bit down or you just do not have anything to do that day something for other cities to consider","Public transport is free in Brussels and there is a bus there called “not the 48” which takes you to a mystery location."
1875,"joebiden once again lies about republicans trying to cut social security and medicare here is my ad running tomorrow to welcome joe to fl he is a tax cheat and needs to resign","President Joe Biden “cheated on his taxes and got away with it.”"
1876,"president trump created a task force within the doj to combat chinese espionage in our country joe biden shut down that task force let that sink in","Former President Donald Trump created a Justice Department task force to combat Chinese espionage in the country, and President Joe Biden shut it down."
1877,"this shows the type of person she really is part of the speech she gave to you she is fake","New Zealand Prime Minister Jacinda Ardern used a passage from animated children’s film Bee Movie in her speech to Harvard graduates."
1878,"gallstones in the gallbladder caused by eating fried food that uses trans fats to cook and behavior of drinking less water in natural therapy eat yogurt honey lemon eat every day eat consistently and drink plenty of water one day do not give less than 3 liters refrain from fried food refrain from eating trans fat gallstones in the gallbladder will fall out on their own if it is not too big give it a try and see if it disappears or not from the book eat forgetfulness by ajarn suthiwat khampha","Eating yoghurt, honey and lemon cure gallstones"
1879,"it is all over ukrainian army carried out the last operation that finished off the invading russians","The war in Ukraine is over"
1880,"in june there were 207416 migrant encounters at our southern border there have now been 16 straight months of over 150000 illegal border crossings","“There have now been 16 straight months of OVER 150,000 illegal border crossings.”"
1881,"constituents now face reality that all their personal issues will be made public","
""Constituents now face reality that all their personal issues will be made public"" under Clean Missouri."
1882,"please be advised within 48 to 72 hours the president will evoke what is called the stafford act just got off the phone with some of my military friends up in dc who just got out of a two hour briefing the president will order a two week mandatory quarantine for the nation stock up on whatever you guys need to make sure you have a two week supply of everything please forward to your network","Can Trump use the Stafford Act to order a national, mandatory 2-week quarantine?"
